Tommy Tuberville (R)
Dan Sullivan (R)
Mark Kelly (D)
Tom Cotton (R)
Alex Padilla (D)
John W. Hickenlooper (D)
Christopher Murphy (D)
Christopher A. Coons (D)
Rick Scott (R)
Raphael G. Warnock (D)
Brian Schatz (D)
James E. Risch (R)
Tammy Duckworth (D)
Mike Braun (R)
Joni Ernst (R)
Roger Marshall (R)
Rand Paul (R)
John Kennedy (R)
Angus King (I)
Chris Van Hollen (D)
Edward J. Markey (D)
Gary Peters (D)
Tina Smith (D)
Cindy Hyde-Smith (R)
Josh Hawley (R)
Steve Daines (R)
Ben Sasse (R)
Jacky Rosen (D)
Margaret Wood Hassan (D)
Cory A. Booker (D)
Ben Ray Luján (D)
Kirsten E. Gillibrand (D)
Thom Tillis (R)
Kevin Cramer (R)
Rob Portman (R)
James Lankford (R)
Jeff Merkley (D)
Patrick J. Toomey (R)
Sheldon Whitehouse (D)
Tim Scott (R)
Mike Rounds (R)
Bill Hagerty (R)
Ted Cruz (R)
Mitt Romney (R)
Bernard Sanders (I)
Tim Kaine (D)
Maria Cantwell (D)
Shelley Moore Capito (R)
Tammy Baldwin (D)
Cynthia M. Lummis (R)
Richard C. Shelby (R)
Lisa Murkowski (R)
Kyrsten Sinema (D)
John Boozman (R)
Dianne Feinstein (D)
Michael F. Bennet (D)
Richard Blumenthal (D)
Thomas R. Carper (D)
Marco Rubio (R)
Jon Ossoff (D)
Mazie K. Hirono (D)
Mike Crapo (R)
Dick Durbin (D)
Todd Young (R)
Chuck Grassley (R)
Jerry Moran (R)
Mitch McConnell (R)
Bill Cassidy (R)
Susan Collins (R)
Benjamin L. Cardin (D)
Elizabeth Warren (D)
Debbie Stabenow (D)
Amy Klobuchar (D)
Roger F. Wicker (R)
Roy Blunt (R)
Jon Tester (D)
Deb Fischer (R)
Catherine Cortez Masto (D)
Jeanne Shaheen (D)
Robert Menendez (D)
Martin Heinrich (D)
Charles E. Schumer (D)
Richard Burr (R)
John Hoeven (R)
Sherrod Brown (D)
James M. Inhofe (R)
Ron Wyden (D)
"Robert P. Casey, Jr. (D)"
Jack Reed (D)
Lindsey Graham (R)
John Thune (R)
Marsha Blackburn (R)
John Cornyn (R)
Mike Lee (R)
Patrick J. Leahy (D)
Mark R. Warner (D)
Patty Murray (D)
Joseph Manchin III (D)
Ron Johnson (R)
John Barrasso (R)
