Tommy Tuberville (R),TTuberville,
Dan Sullivan (R),DanSullivan_AK,
Mark Kelly (D),SenMarkKelly,
Tom Cotton (R),SenTomCotton,
Alex Padilla (D),AlexPadilla4CA,
John W. Hickenlooper (D),SenatorHick,
Christopher Murphy (D),ChrisMurphyCT,
Christopher A. Coons (D),ChrisCoons,
Rick Scott (R),SenRickScott,
Raphael G. Warnock (D),RaphaelWarnock,
Brian Schatz (D),brianschatz,
James E. Risch (R),SenatorRisch,jim
Tammy Duckworth (D),SenDuckworth,
Mike Braun (R),braun4indiana,
Joni Ernst (R),SenJoniErnst,
Roger Marshall (R),RogerMarshallMD,
Rand Paul (R),RandPaul,
John Kennedy (R),SenJohnKennedy,
Angus King (I),SenAngusKing,
Chris Van Hollen (D),ChrisVanHollen,
Edward J. Markey (D),SenMarkey,
Gary Peters (D),SenGaryPeters,
Tina Smith (D),SenTinaSmith,
Cindy Hyde-Smith (R),SenHydeSmith,
Josh Hawley (R),HawleyMO,
Steve Daines (R),SteveDaines,
Ben Sasse (R),SenSasse,
Jacky Rosen (D),SenJackyRosen,
Margaret Wood Hassan (D),Maggie_Hassan,
Cory A. Booker (D),CoryBooker,
Ben Ray Luján (D),SenatorLujan,
Kirsten E. Gillibrand (D),SenGillibrand,
Thom Tillis (R),SenThomTillis,
Kevin Cramer (R),SenKevinCramer,
Rob Portman (R),senrobportman,
James Lankford (R),SenatorLankford,
Jeff Merkley (D),SenJeffMerkley,
Patrick J. Toomey (R),SenToomey,
Sheldon Whitehouse (D),SenWhitehouse,
Tim Scott (R),SenatorTimScott,
Mike Rounds (R),SenatorRounds,
Bill Hagerty (R),SenatorHagerty,
Ted Cruz (R),SenTedCruz,
Mitt Romney (R),SenatorRomney,
Bernard Sanders (I),SenSanders,
Tim Kaine (D),timkaine,
Maria Cantwell (D),SenatorCantwell,
Shelley Moore Capito (R),SenCapito,
Tammy Baldwin (D),SenatorBaldwin,
Cynthia M. Lummis (R),SenLummis,
Richard C. Shelby (R),SenShelby,
Lisa Murkowski (R),lisamurkowski,
Kyrsten Sinema (D),SenatorSinema,
John Boozman (R),JohnBoozman,
Dianne Feinstein (D),SenFeinstein,
Michael F. Bennet (D),SenatorBennet,
Richard Blumenthal (D),SenBlumenthal,
Thomas R. Carper (D),SenatorCarper,
Marco Rubio (R),SenRubioPress,
Jon Ossoff (D),ossoff,
Mazie K. Hirono (D),maziehirono,
Mike Crapo (R),MikeCrapo,
Dick Durbin (D),SenatorDurbin,
Todd Young (R),ToddYoungIN,
Chuck Grassley (R),GrassleyPress,
Jerry Moran (R),JerryMoran,
Mitch McConnell (R),LeaderMcConnel,
Bill Cassidy (R),SenBillCassidy,
Susan Collins (R),SenatorCollins,
Benjamin L. Cardin (D),SenatorCardin,
Elizabeth Warren (D),SenWarren,
Debbie Stabenow (D),SenStabenow,
Amy Klobuchar (D),SenAmyKlobuchar,
Roger F. Wicker (R),SenatorWicker,
Roy Blunt (R),RoyBlunt,
Jon Tester (D),SenatorTester,
Deb Fischer (R),SenatorFischer,
Catherine Cortez Masto (D),SenCortezMasto,
Jeanne Shaheen (D),SenatorShaheen,
Robert Menendez (D),SenatorMenendez,
Martin Heinrich (D),MartinHeinrich,
Charles E. Schumer (D),SenSchumer,
Richard Burr (R),SenatorBurr,
John Hoeven (R),SenJohnHoeven,
Sherrod Brown (D),SenSherrodBrown,
James M. Inhofe (R),JimInhofe,
Ron Wyden (D),RonWyden,
"Robert P. Casey, Jr. (D)",SenBobCasey,
Jack Reed (D),jackreed2020,
Lindsey Graham (R),LindseyGrahamSC,
John Thune (R),SenJohnThune,
Marsha Blackburn (R),MarshaBlackburn,
John Cornyn (R),JohnCornyn,
Mike Lee (R),SenMikeLee,
Patrick J. Leahy (D),SenatorLeahy,
Mark R. Warner (D),MarkWarner,
Patty Murray (D),PattyMurray,
Joseph Manchin III (D),Sen_JoeManchin,
Ron Johnson (R),SenRonJohnson,
John Barrasso (R),SenJohnBarrasso,
